Country,Year_Cohort,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,Hepatitis_B,Measles,BMI,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Schooling,region,sub_region
Algeria,2012-2015,75.35,63.75,21.0,0.4000000000000001,95.0,26.5,57.8,95.0,6.823333333333333,95.0,0.1,3929.3267615000004,38722312.5,14.4,Africa,Northern Africa
Angola,2000-2003,46.333333333333336,274.3333333333333,96.0,2.9633333333333334,70.49358974358975,7395.666666666667,16.3,27.333333333333332,4.473333333333334,27.666666666666668,2.2666666666666666,672.2729383333334,12126428.0,5.5,Africa,Sub-Saharan Africa
Angola,2004-2007,47.6,381.0,90.75,5.1899999999999995,73.0,516.5,17.975,38.5,4.1825,37.25,2.55,1181.7781655000001,10919586.0,7.025,Africa,Sub-Saharan Africa
Angola,2008-2011,49.6,366.5,79.5,7.485,69.75,1427.75,15.625,70.5,3.745,55.75,2.525,3761.27186075,18078296.25,8.75,Africa,Sub-Saharan Africa
Angola,2012-2015,52.8,349.0,68.5,8.223333333333334,70.0,6199.5,22.4,54.25,3.6233333333333335,70.0,2.2,2314.493215,2084462.5,11.125,Africa,Sub-Saharan Africa
Antigua and Barbuda,2000-2003,74.0,152.66666666666666,0.0,7.293333333333333,98.0,0.0,27.5,97.0,4.473333333333334,98.0,0.10000000000000002,9494.898724666667,10732675.318181818,0.0,Americas,Latin America and the Caribbean
Antigua and Barbuda,2004-2007,74.7,146.25,0.0,8.25,98.0,0.0,32.7,98.0,4.3075,98.5,0.1,9925.36616,10732675.318181818,7.3,Americas,Latin America and the Caribbean
Antigua and Barbuda,2008-2011,75.475,107.5,0.0,7.9425,98.25,0.0,44.125,98.75,5.2075000000000005,98.75,0.1,6710.50305,10732675.318181818,14.2,Americas,Latin America and the Caribbean
Antigua and Barbuda,2012-2015,76.15,102.75,0.0,8.44,98.75,0.0,46.7,94.25,5.419999999999999,98.75,0.2,12811.389224999999,10732675.318181818,13.875,Americas,Latin America and the Caribbean
Argentina,2000-2003,74.06666666666666,137.66666666666666,11.666666666666666,7.7299999999999995,69.5,0.0,55.13333333333333,91.33333333333333,8.636666666666668,90.66666666666667,0.10000000000000002,1210.1084806666665,3791825.0,16.099999999999998,Americas,Latin America and the Caribbean
Argentina,2004-2007,74.9,99.0,10.75,7.7675,84.5,0.0,57.175,92.5,6.715,94.5,0.1,4475.20927175,21456824.25,16.25,Americas,Latin America and the Caribbean
Argentina,2008-2011,75.55,96.25,9.75,8.25,72.0,5.75,46.0,94.75,6.6825,93.0,0.1,7779.49438375,21935776.0,16.675,Americas,Latin America and the Caribbean
Argentina,2012-2015,76.1,91.25,8.25,8.186666666666666,93.25,0.75,61.9,95.75,4.993333333333333,93.25,0.1,12914.696917500001,33308986.0,17.275,Americas,Latin America and the Caribbean
Armenia,2000-2003,72.63333333333333,136.33333333333334,1.0,2.9166666666666665,84.33333333333333,37.666666666666664,47.76666666666667,96.33333333333333,5.633333333333333,94.0,0.10000000000000002,523.6209915666667,133779.33333333334,10.9,Asia,Western Asia
Armenia,2004-2007,73.1,135.5,1.0,4.015,86.25,1050.5,49.025,70.25,4.91,68.75,0.1,2033.22665425,826953.0,11.175,Asia,Western Asia
Armenia,2008-2011,73.475,102.75,1.0,4.0600000000000005,92.75,0.5,28.475,94.25,4.154999999999999,92.75,0.1,2445.11557475,2167824.5,12.3,Asia,Western Asia
Armenia,2012-2015,74.55,93.5,1.0,3.8633333333333333,94.25,14.0,53.725,95.75,4.503333333333334,94.25,0.1,2973.201611,873149.5,12.7,Asia,Western Asia
Australia,2000-2003,80.93333333333334,73.0,1.0,9.78,94.66666666666667,88.0,41.63333333333333,91.66666666666667,8.296666666666667,92.33333333333333,0.10000000000000002,14421.681633333335,138293.66666666666,20.400000000000002,Oceania,Australia and New Zealand
Australia,2004-2007,82.375,67.0,1.0,10.252500000000001,94.75,22.75,48.225,92.0,8.51,92.0,0.1,11999.840325,25119.25,20.075,Oceania,Australia and New Zealand
Australia,2008-2011,81.725,64.75,1.0,10.55,93.0,107.25,63.65,92.0,9.17,92.0,0.1,51631.915345,219002.0,19.375,Oceania,Australia and New Zealand
Australia,2012-2015,82.575,46.75,1.0,9.87,91.5,192.75,65.8,92.0,9.38,92.0,0.1,63559.7630425,17995409.75,20.3,Oceania,Australia and New Zealand
Austria,2000-2003,78.7,63.0,0.0,12.366666666666667,69.33333333333333,30.0,36.166666666666664,83.0,1.29,83.66666666666667,0.10000000000000002,18018.01557,3281891.0,15.433333333333332,Europe,Western Europe
Austria,2004-2007,79.875,65.0,0.0,12.35,84.25,16.75,52.95,84.25,1.46,84.25,0.1,30491.624377499997,8240980.75,14.95,Europe,Western Europe
Austria,2008-2011,84.5,75.25,0.0,11.86,85.25,154.25,54.95,85.25,6.475,85.25,0.1,49206.2335625,6473201.5,15.375,Europe,Western Europe
Austria,2012-2015,83.0,51.5,0.0,12.133333333333333,94.5,115.5,56.85,94.5,11.173333333333334,94.5,0.1,35969.218755,8521027.5,15.8,Europe,Western Europe
Azerbaijan,2000-2003,67.7,150.33333333333334,7.333333333333333,0.5366666666666667,28.0,2301.6666666666665,43.1,54.666666666666664,5.17,76.66666666666667,0.10000000000000002,573.6888066333332,326882.6666666667,10.6,Asia,Western Asia
Azerbaijan,2004-2007,69.75,121.0,6.0,0.8049999999999999,42.0,571.75,45.025,61.5,6.7625,77.25,0.1,2012.23395725,445454.5,11.125,Asia,Western Asia
Azerbaijan,2008-2011,73.425,102.75,5.5,1.81,58.5,1.25,47.675,86.25,5.1625,82.5,0.1,4775.6205150000005,2726647.75,11.649999999999999,Asia,Western Asia
Azerbaijan,2012-2015,72.325,120.25,5.0,0.7199999999999999,92.75,41.0,39.825,95.75,5.7700000000000005,93.0,0.1,5829.67656925,5210096.25,12.15,Asia,Western Asia
Bahamas,2000-2003,73.06666666666666,132.33333333333334,0.0,11.056666666666667,66.0,0.0,55.96666666666667,94.66666666666667,5.343333333333334,95.0,0.13333333333333333,4400.970148264102,10732675.318181818,12.133333333333333,Americas,Latin America and the Caribbean
Bahamas,2004-2007,74.125,171.0,0.0,10.6025,93.75,0.0,58.4,93.5,6.72,94.0,0.1,4400.970148264102,10732675.318181818,12.4,Americas,Latin America and the Caribbean
Bahamas,2008-2011,74.775,164.5,0.0,9.4925,74.25,0.0,34.025,96.0,7.45,96.5,0.125,4400.970148264102,10732675.318181818,12.6,Americas,Latin America and the Caribbean
Bahamas,2012-2015,75.3,125.5,0.0,9.456666666666665,96.0,0.0,63.525,96.75,7.5566666666666675,96.5,0.125,4400.970148264102,10732675.318181818,12.6,Americas,Latin America and the Caribbean
Bahrain,2000-2003,74.86666666666667,60.333333333333336,0.0,2.033333333333333,98.33333333333333,8.333333333333334,55.0,98.0,3.81,98.0,0.10000000000000002,9467.51272,7185663.520833333,13.5,Asia,Western Asia
Bahrain,2004-2007,75.4,80.0,0.0,2.0775,97.75,6.25,56.525,97.75,3.5324999999999998,97.75,0.1,9680.191435,7185663.520833333,14.125,Asia,Western Asia
Bahrain,2008-2011,76.0,74.75,0.0,1.885,98.25,1.25,32.675,98.0,3.5,98.25,0.1,6681.8752025,7185663.520833333,14.4,Asia,Western Asia
Bahrain,2012-2015,76.725,38.5,0.0,1.64,98.5,11.5,62.55,98.5,4.680000000000001,98.5,0.1,17893.201835,7185663.520833333,14.5,Asia,Western Asia
Bangladesh,2000-2003,66.3,164.33333333333334,207.33333333333334,0.01,5.0,3988.3333333333335,8.2,59.0,2.5233333333333334,85.0,0.10000000000000002,159.98352896666668,949191.3333333334,7.7,Asia,Southern Asia
Bangladesh,2004-2007,67.975,154.0,169.25,0.01,59.25,11198.25,12.75,93.25,2.725,95.0,0.1,391.769882925,44268368.75,8.325,Asia,Southern Asia
Bangladesh,2008-2011,70.375,111.75,130.75,0.01,95.75,2447.75,14.9,95.75,3.13,95.75,0.1,722.591001825,46389530.0,8.825,Asia,Southern Asia
Bangladesh,2012-2015,72.8,133.25,101.25,0.01,96.0,688.0,17.35,96.0,3.1666666666666665,96.0,0.1,528.4889651249999,47675552.5,10.025,Asia,Southern Asia
Barbados,2000-2003,73.53333333333335,123.0,0.0,7.54,58.333333333333336,0.0,44.6,62.666666666666664,5.683333333333334,86.66666666666667,0.6333333333333333,8139.2701799999995,10732675.318181818,14.066666666666668,Americas,Latin America and the Caribbean
Barbados,2004-2007,74.0,116.0,0.0,8.1375,90.5,0.0,47.3,90.5,5.5,90.5,0.125,14800.443580000001,10732675.318181818,14.7,Americas,Latin America and the Caribbean
Barbados,2008-2011,74.65,40.0,0.0,8.5825,88.75,0.0,39.05,69.5,6.2875,88.75,0.1,8827.6791,10732675.318181818,15.525,Americas,Latin America and the Caribbean
Barbados,2012-2015,75.3,30.5,0.0,8.723333333333334,92.25,0.0,53.35,92.75,7.489999999999999,92.25,0.1,15443.7910275,10732675.318181818,15.3,Americas,Latin America and the Caribbean
Belarus,2000-2003,67.53333333333335,256.3333333333333,1.0,11.38,82.66666666666667,26.666666666666668,55.333333333333336,83.66666666666667,6.56,67.66666666666667,0.10000000000000002,1514.4273236666668,9863615.333333334,13.6,Europe,Eastern Europe
Belarus,2004-2007,68.75,242.0,1.0,12.47,96.75,38.25,56.95,75.75,6.5649999999999995,98.0,0.1,3522.18943325,3139734.5,14.5,Europe,Eastern Europe
Belarus,2008-2011,71.25,226.0,0.25,15.1275,97.5,12.75,59.025,98.25,5.83,97.25,0.1,4533.865525499999,5226876.25,15.375,Europe,Eastern Europe
Belarus,2012-2015,71.975,153.0,0.0,14.983333333333334,97.75,23.0,47.9,98.0,5.830000000000001,98.0,0.1,5735.1538555,9473654.75,15.649999999999999,Europe,Eastern Europe
Belgium,2000-2003,78.10000000000001,65.0,0.6666666666666666,11.193333333333333,25.333333333333332,42.333333333333336,58.96666666666667,96.0,8.683333333333334,95.0,0.10000000000000002,9805.952026666668,945858.3333333334,18.533333333333335,Europe,Western Europe
Belgium,2004-2007,79.15,87.75,0.25,11.3875,82.25,41.5,19.875,97.75,9.245000000000001,97.0,0.1,28963.29712,1115992.25,16.5,Europe,Western Europe
Belgium,2008-2011,80.575,65.25,0.0,10.2125,97.25,186.75,61.775,98.25,3.3949999999999996,98.25,0.1,15531.040582499998,1254949.0,15.9,Europe,Western Europe
Belgium,2012-2015,85.025,76.25,0.0,11.483333333333334,98.0,66.25,63.175,99.0,1.5666666666666667,99.0,0.1,15230.5575025,8424554.0,16.35,Europe,Western Europe
Belize,2000-2003,68.36666666666667,80.33333333333333,0.0,5.1866666666666665,96.33333333333333,0.0,42.0,94.66666666666667,4.47,93.66666666666667,0.6666666666666666,3551.944258,102707.66666666667,11.966666666666667,Americas,Latin America and the Caribbean
Belize,2004-2007,69.175,188.25,0.0,6.5425,96.75,0.0,44.1,97.0,4.5,96.75,0.7,4069.2812830000003,92640.0,12.600000000000001,Americas,Latin America and the Caribbean
Belize,2008-2011,69.5,184.75,0.0,6.8675,95.5,0.0,46.7,95.75,5.7925,95.5,0.275,3391.60377275,177863.5,12.575,Americas,Latin America and the Caribbean
Belize,2012-2015,70.05,139.75,0.0,6.6000000000000005,95.5,0.0,27.2,95.5,5.676666666666667,95.5,0.17500000000000002,4766.099521,272208.5,12.75,Americas,Latin America and the Caribbean
Benin,2000-2003,55.63333333333333,283.0,25.0,1.29,44.0,2554.6666666666665,19.233333333333334,76.0,4.53,74.66666666666667,2.1,438.9091336666667,2941560.6666666665,7.2,Africa,Sub-Saharan Africa
Benin,2004-2007,56.625,284.25,25.0,1.1475,59.5,247.25,11.775,76.25,4.6475,58.75,2.05,336.9170275,6165416.5,8.55,Africa,Sub-Saharan Africa
Benin,2008-2011,58.45,260.5,25.0,1.2925,76.25,801.75,22.75,59.75,4.745,76.25,1.55,614.8106348,4721333.25,9.425,Africa,Sub-Saharan Africa
Benin,2012-2015,59.625,250.75,25.0,0.01,61.25,441.5,24.9,58.25,4.68,61.25,1.15,870.2142609,962507.75,10.425,Africa,Sub-Saharan Africa
Bhutan,2000-2003,62.5,194.66666666666666,1.0,0.31666666666666665,89.0,261.0,14.933333333333332,91.0,6.186666666666667,89.66666666666667,0.13333333333333333,657.1062353,231909.66666666666,8.0,Asia,Southern Asia
Bhutan,2004-2007,65.375,250.0,1.0,0.5349999999999999,93.5,6.75,17.05,73.25,5.21,93.5,0.3,1130.417828,520026.75,9.425,Asia,Southern Asia
Bhutan,2008-2011,67.65,229.75,0.75,0.2225,93.75,11.0,15.425,94.0,5.695,93.75,0.45,1652.4492525,362586.25,11.175,Asia,Southern Asia
Bhutan,2012-2015,69.25,217.25,0.0,0.01,98.0,3.0,23.175,97.5,3.6999999999999997,98.0,0.55,1948.7852165,770440.5,12.475,Asia,Southern Asia
Bolivia (Plurinational State of),2000-2003,63.9,165.0,13.666666666666666,2.276666666666667,54.0,0.0,44.0,76.33333333333333,6.046666666666667,78.66666666666667,0.13333333333333333,4400.970148264102,10732675.318181818,14.033333333333333,Americas,Latin America and the Caribbean
Bolivia (Plurinational State of),2004-2007,65.95,220.75,11.5,3.055,84.0,0.0,46.35,83.75,5.26,84.0,0.2,4400.970148264102,10732675.318181818,14.35,Americas,Latin America and the Caribbean
Bolivia (Plurinational State of),2008-2011,68.35,114.5,9.5,3.88,91.75,0.0,48.95,70.75,5.4225,91.75,0.2,4400.970148264102,10732675.318181818,13.850000000000001,Americas,Latin America and the Caribbean
Bolivia (Plurinational State of),2012-2015,72.95,190.25,8.0,3.763333333333333,96.0,0.0,40.325,96.5,5.95,96.0,0.1,4400.970148264102,10732675.318181818,13.8,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,2000-2003,75.16666666666667,45.333333333333336,0.0,3.9433333333333334,85.43287037037038,15.333333333333334,48.800000000000004,88.33333333333333,7.3999999999999995,62.0,0.10000000000000002,1833.5607043333332,2642706.0,11.866666666666667,Europe,Southern Europe
Bosnia and Herzegovina,2004-2007,75.4,32.0,0.0,4.6975,58.0,58.5,39.475,92.0,8.6375,89.75,0.1,999.16709875,1985670.5,12.6,Europe,Southern Europe
Bosnia and Herzegovina,2008-2011,76.35,95.25,0.0,4.765,68.5,21.25,52.875,49.75,9.377500000000001,69.25,0.1,2484.9609435,2892827.25,13.275,Europe,Southern Europe
Bosnia and Herzegovina,2012-2015,77.1,69.5,0.0,4.253333333333334,88.5,1174.75,55.0,83.5,9.656666666666666,87.25,0.1,3755.36672375,993276.0,14.125,Europe,Southern Europe
Botswana,2000-2003,46.36666666666667,690.3333333333334,2.0,5.8,61.333333333333336,22.333333333333332,22.066666666666666,96.66666666666667,5.616666666666667,96.66666666666667,34.56666666666667,2549.4186373333337,1239742.3333333333,11.833333333333334,Africa,Sub-Saharan Africa
Botswana,2004-2007,52.875,536.25,2.0,5.9825,92.25,3.25,32.95,96.0,5.205,96.0,19.2,5334.2179510000005,1459359.25,11.925,Africa,Sub-Saharan Africa
Botswana,2008-2011,60.0,373.5,2.0,5.83,94.5,261.25,34.95,96.0,5.7075,95.5,8.35,6200.12008525,1098109.5,12.25,Africa,Sub-Saharan Africa
Botswana,2012-2015,64.6,203.25,2.0,0.01,95.0,2.25,37.05,96.0,5.84,95.0,2.925,3709.317653,724985.5,12.575,Africa,Sub-Saharan Africa
Brazil,2000-2003,71.39999999999999,175.66666666666666,95.33333333333333,7.026666666666666,93.33333333333333,1.3333333333333333,45.300000000000004,99.0,7.086666666666667,98.66666666666667,0.10000000000000002,2108.729627666667,62024945.666666664,14.566666666666668,Americas,Latin America and the Caribbean
Brazil,2004-2007,72.75,125.0,72.75,7.0275,98.0,15.75,48.175,99.0,8.1525,99.0,0.1,3000.09083825,102423717.0,13.775,Americas,Latin America and the Caribbean
Brazil,2008-2011,73.725,155.25,55.75,7.41,97.25,27.75,40.3,98.75,8.515,99.0,0.1,10433.156535,152419220.5,13.725000000000001,Americas,Latin America and the Caribbean
Brazil,2012-2015,74.75,145.0,45.25,7.37,96.0,328.0,54.875,96.5,8.353333333333333,95.25,0.1,8623.07274,7328741.5,14.7,Americas,Latin America and the Caribbean
Brunei Darussalam,2000-2003,75.16666666666667,67.66666666666667,0.0,0.24,99.0,11.666666666666666,28.03333333333333,99.0,3.6333333333333333,94.33333333333333,0.10000000000000002,17289.971716666667,32962480.354166664,13.366666666666667,Asia,South-eastern Asia
Brunei Darussalam,2004-2007,76.225,68.75,0.0,0.4475,98.5,6.25,24.925,93.5,2.5700000000000003,95.5,0.1,14395.030060000001,32962480.354166664,14.1,Asia,South-eastern Asia
Brunei Darussalam,2008-2011,77.075,82.5,0.0,0.6925,95.25,2.25,35.7,98.5,2.515,97.25,0.1,26475.536525,32962480.354166664,14.149999999999999,Asia,South-eastern Asia
Brunei Darussalam,2012-2015,77.675,62.25,0.0,0.01,98.75,1.5,30.700000000000003,99.0,2.52,99.0,0.1,25094.07497,32962480.354166664,14.8,Asia,South-eastern Asia
Bulgaria,2000-2003,71.8,109.33333333333333,1.0,10.703333333333333,92.33333333333333,2.6666666666666665,58.06666666666666,94.66666666666667,7.3566666666666665,94.33333333333333,0.10000000000000002,774.6589843333335,5233876.666666667,12.9,Europe,Eastern Europe
Bulgaria,2004-2007,72.275,122.75,1.0,10.68,95.25,1.25,33.0,95.5,7.195,95.25,0.1,4430.32607675,4013029.5,13.45,Europe,Eastern Europe
Bulgaria,2008-2011,73.30000000000001,149.5,1.0,10.845,95.75,6102.75,62.4,94.75,6.8775,94.5,0.1,7227.30212275,7420232.75,13.925,Europe,Eastern Europe
Bulgaria,2012-2015,74.2,107.0,0.75,11.693333333333333,94.25,3.75,64.8,92.25,7.826666666666667,92.25,0.1,7474.983382750001,5600733.0,14.625,Europe,Eastern Europe
Burkina Faso,2000-2003,52.86666666666667,338.0,48.666666666666664,4.556666666666667,70.49358974358975,2954.6666666666665,12.9,71.33333333333333,5.239999999999999,70.0,3.233333333333333,198.19970823333333,8240713.0,3.6333333333333333,Africa,Sub-Saharan Africa
Burkina Faso,2004-2007,53.824999999999996,240.25,47.5,4.6825,82.5,116.75,14.399999999999999,91.0,6.6325,84.0,2.125,329.01679835,4182540.0,4.45,Africa,Sub-Saharan Africa
Burkina Faso,2008-2011,57.15,281.25,43.5,4.5275,91.75,14471.0,16.35,50.25,6.63,91.75,1.125,591.19901655,4484334.0,6.075,Africa,Sub-Saharan Africa
Burkina Faso,2012-2015,59.2,148.0,39.5,3.133333333333333,69.75,2044.75,18.525,70.0,5.3999999999999995,69.75,0.675,516.003545825,9435385.0,7.525,Africa,Sub-Saharan Africa
Burundi,2000-2003,51.56666666666666,386.3333333333333,24.333333333333332,5.97,70.49358974358975,413.3333333333333,13.266666666666666,73.66666666666667,5.12,81.33333333333333,5.2,123.00857706666666,6750170.333333333,4.533333333333334,Africa,Sub-Saharan Africa
Burundi,2004-2007,53.725,365.75,24.0,5.075,90.25,207.25,14.3,84.75,7.4325,90.25,4.075,81.6708431,7555162.75,5.975,Africa,Sub-Saharan Africa
Burundi,2008-2011,56.425,181.75,22.75,4.175,94.5,275.5,15.9,93.5,8.055,94.5,2.175,119.71655335,2508061.5,8.925,Africa,Sub-Saharan Africa
Burundi,2012-2015,58.825,232.5,21.75,0.01,95.25,14.5,17.9,95.25,8.016666666666667,95.25,0.8999999999999999,223.61784465,534315.75,10.5,Africa,Sub-Saharan Africa
Cabo Verde,2000-2003,73.7,148.0,0.0,3.9299999999999997,35.0,0.0,22.633333333333336,92.0,5.12,64.0,0.8333333333333334,1470.4405066666666,178359.66666666666,11.200000000000001,Africa,Sub-Saharan Africa
Cabo Verde,2004-2007,71.9,100.75,0.0,4.495,93.75,0.0,24.6,96.0,4.9675,95.5,0.7,1392.7921955,369366.0,11.525,Africa,Sub-Saharan Africa
Cabo Verde,2008-2011,72.475,123.25,0.0,4.6075,75.75,0.0,27.175,76.5,4.4075,76.5,0.375,2690.9428745,261734.25,12.6,Africa,Sub-Saharan Africa
Cabo Verde,2012-2015,72.95,91.0,0.0,0.01,95.25,0.0,23.375,93.75,4.553333333333334,93.75,0.225,2597.75424325,394636.25,13.45,Africa,Sub-Saharan Africa
Cambodia,2000-2003,60.26666666666667,271.3333333333333,23.0,1.5266666666666666,78.85772357723577,1925.0,12.766666666666666,60.666666666666664,6.13,43.0,2.066666666666667,341.1082341666667,8910108.666666666,8.366666666666667,Asia,South-eastern Asia
Cambodia,2004-2007,63.375,181.75,17.5,1.8699999999999999,45.0,299.5,14.125,64.5,5.125,64.25,1.275,423.598500625,7161820.0,10.025,Asia,South-eastern Asia
Cambodia,2008-2011,66.32499999999999,151.25,14.5,2.1725000000000003,90.0,2717.0,16.15,90.25,5.875,90.5,0.525,788.05120045,3708886.75,10.575,Asia,South-eastern Asia
Cambodia,2012-2015,68.05,180.5,11.0,0.01,86.5,3.75,18.575,81.0,5.95,86.5,0.225,396.38514825,7992493.0,10.825,Asia,South-eastern Asia
Cameroon,2000-2003,51.63333333333333,166.66666666666666,60.333333333333336,4.55,70.49358974358975,8760.333333333334,21.8,66.33333333333333,4.843333333333334,67.33333333333333,7.8,705.3131780666666,11290211.666666666,7.866666666666667,Africa,Sub-Saharan Africa
Cameroon,2004-2007,52.95,301.25,58.0,5.1,80.66666666666667,314.75,23.575,77.5,4.7325,61.0,7.275,292.5249971,9933431.75,8.175,Africa,Sub-Saharan Africa
Cameroon,2008-2011,54.975,290.75,53.5,6.032500000000001,64.5,372.5,25.725,63.0,5.03,64.5,5.85,958.80966225,5425365.25,9.425,Africa,Sub-Saharan Africa
Cameroon,2012-2015,56.575,364.0,47.5,0.01,86.25,1002.25,28.1,85.5,4.243333333333333,86.25,3.95,1326.640875,12224153.5,10.4,Africa,Sub-Saharan Africa
Canada,2000-2003,79.53333333333335,55.0,2.0,7.666666666666667,14.0,18.333333333333332,41.266666666666666,88.0,9.336666666666666,89.33333333333333,0.10000000000000002,25343.862216666665,31619.0,15.800000000000002,Americas,Northern America
Canada,2004-2007,82.75,75.5,2.0,8.075,14.0,31.75,48.074999999999996,72.0,9.6775,93.25,0.1,29275.1716525,8319497.5,15.8,Americas,Northern America
Canada,2008-2011,82.675,55.25,2.0,8.325,33.25,244.5,63.85,88.25,6.3725,89.75,0.1,26024.8710375,17663474.0,15.875,Americas,Northern America
Canada,2012-2015,81.9,66.0,2.0,8.200000000000001,43.0,176.5,66.125,93.0,1.6333333333333335,92.0,0.1,37192.6484475,19440105.25,16.0,Americas,Northern America
Central African Republic,2000-2003,45.63333333333333,54.333333333333336,17.0,1.4933333333333334,70.49358974358975,1475.6666666666667,17.166666666666668,30.0,4.14,31.666666666666668,13.366666666666667,261.0617272,1587500.0,5.433333333333334,Africa,Sub-Saharan Africa
Central African Republic,2004-2007,46.175,393.5,17.0,1.51,70.49358974358975,439.0,18.425,46.25,4.195,51.0,10.55,346.288267775,230710.75,5.95,Africa,Sub-Saharan Africa
Central African Republic,2008-2011,48.8,454.75,16.75,1.6025,44.666666666666664,176.0,11.024999999999999,46.0,3.8775,44.75,7.0,461.9008752,3328621.75,6.525,Africa,Sub-Saharan Africa
Central African Republic,2012-2015,53.35,431.0,15.5,0.01,41.0,274.25,21.9,41.0,3.8800000000000003,41.0,4.775,387.3524481,2377480.5,7.1,Africa,Sub-Saharan Africa
Chad,2000-2003,48.166666666666664,30.0,43.0,0.36000000000000004,70.49358974358975,15995.333333333334,14.433333333333332,31.0,6.906666666666666,24.666666666666668,4.966666666666666,170.9206338666667,631107.3333333334,5.133333333333334,Africa,Sub-Saharan Africa
Chad,2004-2007,48.75,224.75,45.0,0.39749999999999996,70.49358974358975,3090.25,15.575,38.75,4.075,19.5,5.1,328.69684522500006,424499.25,5.6,Africa,Sub-Saharan Africa
Chad,2008-2011,52.35,290.0,46.0,0.495,28.25,2268.0,16.925,20.5,3.0875,28.75,4.275,725.00860685,6441005.0,6.425,Africa,Sub-Saharan Africa
Chad,2012-2015,52.425,362.75,46.0,0.42333333333333334,31.5,509.75,18.475,48.25,3.3466666666666662,31.5,3.1,715.7129024999999,7031893.75,7.3,Africa,Sub-Saharan Africa
Chile,2000-2003,77.66666666666667,9.333333333333334,2.0,6.176666666666667,83.4322033898305,0.3333333333333333,55.4,96.33333333333333,6.776666666666666,96.66666666666667,0.10000000000000002,4615.637242,15622715.333333334,13.866666666666667,Americas,Latin America and the Caribbean
Chile,2004-2007,78.55000000000001,72.5,2.0,7.1525,93.5,0.0,57.75,93.75,6.5375,93.5,0.1,4812.183453,12600005.25,14.65,Americas,Latin America and the Caribbean
Chile,2008-2011,79.44999999999999,88.5,2.0,7.5424999999999995,93.75,1.75,46.75,93.5,7.0575,93.75,0.1,1446.641275,16909523.75,15.275,Americas,Latin America and the Caribbean
Chile,2012-2015,82.225,83.25,2.0,7.04,52.5,2.25,62.8,52.25,7.5200000000000005,72.75,0.1,14960.982675,13644801.75,15.9,Americas,Latin America and the Caribbean
China,2000-2003,72.66666666666667,13.333333333333334,423.3333333333333,2.9033333333333338,49.0,73060.66666666667,21.900000000000002,86.33333333333333,4.723333333333334,86.0,0.10000000000000002,863.4703413333333,47117.666666666664,9.733333333333333,Asia,Eastern Asia
China,2004-2007,74.0,76.0,321.0,3.28,86.5,100848.25,24.525,90.5,4.555,90.0,0.1,1226.67054025,368511.0,10.8,Asia,Eastern Asia
China,2008-2011,74.9,93.25,240.0,5.1325,98.0,58001.0,27.725,99.0,5.145,98.5,0.1,3349.9976214999997,431492.25,12.35,Asia,Eastern Asia
